# of adv guards,adv guard bw,# of adv exits,adv exit bw,# of nodes,# of paths,# of trees,% bandwidth of adversary exit nodes among other exit nodes,% bandwidth of adversary entry nodes among other entry nodes,% bandwidth of adversary nodes among all nodes,% of paths with an adversary exit node,% of paths with an adversary entry node,% of paths with both aversary exit and entry node,% of paths with both aversary exit midle and entry node,% of trees with an adversary exit node,% of trees with an adversary entry node,% of trees with an adversary entry and exit node,% of trees with an adversary entry middle and exit node,average number of adversary middle nodes,average number of adversary exit nodes,
200,10000,275,15000,7220,100,100,12.618618454917623,2.3212210894959906,6.021275639242953,19.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,5,62,
200,10000,276,15000,7221,100,100,12.658695785580774,2.3212210894959906,6.035131681019779,17.0,0.0,0.0,0.0,53.0,200.0,53.0,0.0,12,68,
200,10000,277,15000,7222,100,100,12.698736370290385,2.3212210894959906,6.048983637582796,17.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,96,55,
200,10000,278,15000,7223,100,100,12.738740259560538,2.3212210894959906,6.06283151073842,15.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,2,52,
200,10000,279,15000,7224,100,100,12.778707503812772,2.3212210894959906,6.076675302291999,12.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,6,73,
200,10000,280,15000,7225,100,100,12.818638153376288,2.3212210894959906,6.090515014047822,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,8,64,
200,10000,281,15000,7226,100,100,12.858532258488165,2.3212210894959906,6.104350647809111,14.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,8,67,
200,10000,282,15000,7227,100,100,12.898389869293572,2.3212210894959906,6.1181822053780275,14.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,6,58,
200,10000,283,15000,7228,100,100,12.938211035845976,2.3212210894959906,6.132009688555669,21.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,6,69,
200,10000,284,15000,7229,100,100,12.977995808107353,2.3212210894959906,6.145833099142076,12.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,8,71,
200,10000,285,15000,7230,100,100,13.017744235948395,2.3212210894959906,6.159652438936225,14.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,7,65,
200,10000,286,15000,7231,100,100,13.057456369148719,2.3212210894959906,6.173467709736032,16.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,6,72,
200,10000,287,15000,7232,100,100,13.097132257397073,2.3212210894959906,6.187278913338361,14.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,4,63,
200,10000,288,15000,7233,100,100,13.13677195029155,2.3212210894959906,6.201086051539012,18.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,94,67,
200,10000,289,15000,7234,100,100,13.176375497339786,2.3212210894959906,6.2148891261327295,15.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,10,57,
200,10000,290,15000,7235,100,100,13.21594294795917,2.3212210894959906,6.228688138913204,17.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,11,71,
200,10000,291,15000,7236,100,100,13.255474351477057,2.3212210894959906,6.242483091673066,15.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,7,73,
200,10000,292,15000,7237,100,100,13.294969757130954,2.3212210894959906,6.256273986203896,20.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,5,74,
200,10000,293,15000,7238,100,100,13.334429214068741,2.3212210894959906,6.270060824296218,19.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,4,73,
200,10000,294,15000,7239,100,100,13.373852771348878,2.3212210894959906,6.283843607739503,17.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,8,74,
200,10000,295,15000,7240,100,100,13.413240477940585,2.3212210894959906,6.297622338322171,21.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,5,71,
200,10000,296,15000,7241,100,100,13.452592382724072,2.3212210894959906,6.311397017831588,17.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,12,83,
200,10000,297,15000,7242,100,100,13.491908534490724,2.3212210894959906,6.325167648054071,16.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,9,65,
200,10000,298,15000,7243,100,100,13.531188981943309,2.3212210894959906,6.338934230774887,17.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,9,59,
200,10000,299,15000,7244,100,100,13.570433773696179,2.3212210894959906,6.352696767778252,19.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,8,72,
200,10000,300,15000,7245,100,100,13.609642958275465,2.3212210894959906,6.366455260847335,16.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,100,71,
